x	y	TVDss	Layer	Prediction	WellName	por
689340.706	5072557.328	1432.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.091
689340.706	5072557.328	1433.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.044
689340.706	5072557.328	1434.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.169
689340.706	5072557.328	1435.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.085
689340.706	5072557.328	1436.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.055
689340.706	5072557.328	1437.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.082
689340.706	5072557.328	1438.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.071
689340.706	5072557.328	1439.844	10.0	0.07968867	REZOVACCKE_KRCCEVINE-1	0.118
689340.706	5072557.328	1440.844	10.0	0.07968867	REZOVACCKE_KRCCEVINE-1	0.035
689340.706	5072557.328	1441.844	10.0	0.07968867	REZOVACCKE_KRCCEVINE-1	0.097
689340.706	5072557.328	1442.844	10.0	0.07968867	REZOVACCKE_KRCCEVINE-1	0.038
689340.706	5072557.328	1443.844	10.0	0.07968867	REZOVACCKE_KRCCEVINE-1	0.13
689340.706	5072557.328	1444.844	10.0	0.07968867	REZOVACCKE_KRCCEVINE-1	0.079
689340.706	5072557.328	1445.844	10.0	0.12273917	REZOVACCKE_KRCCEVINE-1	0.09
689340.706	5072557.328	1446.844	10.0	0.12273917	REZOVACCKE_KRCCEVINE-1	0.095
689340.706	5072557.328	1447.844	10.0	0.12273917	REZOVACCKE_KRCCEVINE-1	0.091
689340.706	5072557.328	1448.844	10.0	0.12273917	REZOVACCKE_KRCCEVINE-1	0.104
689340.706	5072557.328	1449.844	10.0	0.12273917	REZOVACCKE_KRCCEVINE-1	0.183
689340.706	5072557.328	1450.844	10.0	0.12273917	REZOVACCKE_KRCCEVINE-1	0.185
689340.706	5072557.328	1451.844	10.0	0.12273917	REZOVACCKE_KRCCEVINE-1	0.189
689340.706	5072557.328	1452.844	10.0	0.12273917	REZOVACCKE_KRCCEVINE-1	0.195
689340.706	5072557.328	1453.844	10.0	0.12273917	REZOVACCKE_KRCCEVINE-1	0.154
689340.706	5072557.328	1454.844	10.0	0.12273917	REZOVACCKE_KRCCEVINE-1	0.144
689340.706	5072557.328	1455.844	10.0	0.12273917	REZOVACCKE_KRCCEVINE-1	0.085
689340.706	5072557.328	1456.844	10.0	0.12273917	REZOVACCKE_KRCCEVINE-1	0.07
689340.706	5072557.328	1457.844	10.0	0.12273917	REZOVACCKE_KRCCEVINE-1	0.175
689340.706	5072557.328	1458.844	10.0	0.12273917	REZOVACCKE_KRCCEVINE-1	0.092
689340.706	5072557.328	1459.844	10.0	0.12273917	REZOVACCKE_KRCCEVINE-1	0.144
689340.706	5072557.328	1460.844	10.0	0.12273917	REZOVACCKE_KRCCEVINE-1	0.1
689340.706	5072557.328	1461.844	10.0	0.12273917	REZOVACCKE_KRCCEVINE-1	0.156
689340.706	5072557.328	1462.844	10.0	0.12273917	REZOVACCKE_KRCCEVINE-1	0.179
689340.706	5072557.328	1463.844	10.0	0.12273917	REZOVACCKE_KRCCEVINE-1	0.109
689340.706	5072557.328	1464.844	10.0	0.099660486	REZOVACCKE_KRCCEVINE-1	0.16
689340.706	5072557.328	1465.844	10.0	0.099660486	REZOVACCKE_KRCCEVINE-1	0.045
689340.706	5072557.328	1466.844	10.0	0.099660486	REZOVACCKE_KRCCEVINE-1	0.143
689340.706	5072557.328	1467.844	10.0	0.099660486	REZOVACCKE_KRCCEVINE-1	0.134
689340.706	5072557.328	1468.844	10.0	0.099660486	REZOVACCKE_KRCCEVINE-1	0.094
689340.706	5072557.328	1469.844	10.0	0.099660486	REZOVACCKE_KRCCEVINE-1	0.07
689340.706	5072557.328	1470.844	10.0	0.099660486	REZOVACCKE_KRCCEVINE-1	0.119
689340.706	5072557.328	1471.844	10.0	0.099660486	REZOVACCKE_KRCCEVINE-1	0.134
689340.706	5072557.328	1472.844	10.0	0.099660486	REZOVACCKE_KRCCEVINE-1	0.118
689340.706	5072557.328	1473.844	10.0	0.099660486	REZOVACCKE_KRCCEVINE-1	0.119
689340.706	5072557.328	1474.844	10.0	0.099660486	REZOVACCKE_KRCCEVINE-1	0.128
689340.706	5072557.328	1475.844	10.0	0.099660486	REZOVACCKE_KRCCEVINE-1	0.026
689340.706	5072557.328	1476.844	10.0	0.099660486	REZOVACCKE_KRCCEVINE-1	0.07
689340.706	5072557.328	1477.844	10.0	0.099660486	REZOVACCKE_KRCCEVINE-1	0.068
689340.706	5072557.328	1478.844	10.0	0.078721955	REZOVACCKE_KRCCEVINE-1	0.103
689340.706	5072557.328	1479.844	10.0	0.078721955	REZOVACCKE_KRCCEVINE-1	0.159
689340.706	5072557.328	1480.844	10.0	0.078721955	REZOVACCKE_KRCCEVINE-1	0.142
689340.706	5072557.328	1481.844	10.0	0.078721955	REZOVACCKE_KRCCEVINE-1	0.086
689340.706	5072557.328	1482.844	10.0	0.078721955	REZOVACCKE_KRCCEVINE-1	0.059
689340.706	5072557.328	1483.844	10.0	0.078721955	REZOVACCKE_KRCCEVINE-1	0.066
689340.706	5072557.328	1484.844	10.0	0.078721955	REZOVACCKE_KRCCEVINE-1	0.125
689340.706	5072557.328	1485.844	10.0	0.078721955	REZOVACCKE_KRCCEVINE-1	0.049
689340.706	5072557.328	1486.844	10.0	0.078721955	REZOVACCKE_KRCCEVINE-1	0.076
689340.706	5072557.328	1487.844	10.0	0.078721955	REZOVACCKE_KRCCEVINE-1	0.07
689340.706	5072557.328	1488.844	10.0	0.078721955	REZOVACCKE_KRCCEVINE-1	0.034
689340.706	5072557.328	1489.844	10.0	0.078721955	REZOVACCKE_KRCCEVINE-1	0.025
689340.706	5072557.328	1490.844	10.0	0.078721955	REZOVACCKE_KRCCEVINE-1	0.05
689340.706	5072557.328	1491.844	10.0	0.078721955	REZOVACCKE_KRCCEVINE-1	0.012
689340.706	5072557.328	1492.844	10.0	0.078721955	REZOVACCKE_KRCCEVINE-1	0.126
689340.706	5072557.328	1493.844	10.0	0.01649026	REZOVACCKE_KRCCEVINE-1	0.046
689340.706	5072557.328	1494.844	10.0	0.01649026	REZOVACCKE_KRCCEVINE-1	0.024
689340.706	5072557.328	1495.844	10.0	0.01649026	REZOVACCKE_KRCCEVINE-1	0.003
689340.706	5072557.328	1496.844	10.0	0.01649026	REZOVACCKE_KRCCEVINE-1	0.098
689340.706	5072557.328	1497.844	10.0	0.01649026	REZOVACCKE_KRCCEVINE-1	0.01
689340.706	5072557.328	1498.844	10.0	0.01649026	REZOVACCKE_KRCCEVINE-1	0.007
689340.706	5072557.328	1499.844	10.0	0.01649026	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1500.844	10.0	0.01649026	REZOVACCKE_KRCCEVINE-1	0.011
689340.706	5072557.328	1501.844	10.0	0.01649026	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1502.844	10.0	0.01649026	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1503.844	10.0	0.01649026	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1504.844	10.0	0.01649026	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1505.844	10.0	0.01649026	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1506.844	10.0	0.01649026	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1507.844	10.0	0.01649026	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1508.844	10.0	0.013626986	REZOVACCKE_KRCCEVINE-1	0.015
689340.706	5072557.328	1510.844	10.0	0.013626986	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1511.844	10.0	0.013626986	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1512.844	10.0	0.013626986	REZOVACCKE_KRCCEVINE-1	0.069
689340.706	5072557.328	1513.844	10.0	0.013626986	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1514.844	10.0	0.013626986	REZOVACCKE_KRCCEVINE-1	0.0
