x	y	TVDss	Layer	Prediction	WellName	temp
689340.706	5072557.328	695.844	6.0	49.01262	REZOVACCKE_KRCCEVINE-1	48.642
689340.706	5072557.328	696.844	6.0	49.01262	REZOVACCKE_KRCCEVINE-1	48.682
689340.706	5072557.328	697.844	6.0	49.01262	REZOVACCKE_KRCCEVINE-1	48.722
689340.706	5072557.328	698.844	6.0	49.01262	REZOVACCKE_KRCCEVINE-1	48.762
689340.706	5072557.328	699.844	6.0	49.01262	REZOVACCKE_KRCCEVINE-1	48.802
689340.706	5072557.328	700.844	6.0	49.01262	REZOVACCKE_KRCCEVINE-1	48.842
689340.706	5072557.328	701.844	6.0	49.075928	REZOVACCKE_KRCCEVINE-1	48.882
689340.706	5072557.328	702.844	6.0	49.075928	REZOVACCKE_KRCCEVINE-1	48.922
689340.706	5072557.328	703.844	6.0	49.075928	REZOVACCKE_KRCCEVINE-1	48.962
689340.706	5072557.328	704.844	6.0	49.075928	REZOVACCKE_KRCCEVINE-1	49.002
689340.706	5072557.328	705.844	6.0	49.075928	REZOVACCKE_KRCCEVINE-1	49.042
689340.706	5072557.328	706.844	6.0	49.075928	REZOVACCKE_KRCCEVINE-1	49.082
689340.706	5072557.328	707.844	6.0	49.075928	REZOVACCKE_KRCCEVINE-1	49.122
689340.706	5072557.328	708.844	6.0	49.075928	REZOVACCKE_KRCCEVINE-1	49.162
689340.706	5072557.328	709.844	6.0	49.075928	REZOVACCKE_KRCCEVINE-1	49.202
689340.706	5072557.328	710.844	6.0	49.075928	REZOVACCKE_KRCCEVINE-1	49.243
689340.706	5072557.328	711.844	6.0	49.075928	REZOVACCKE_KRCCEVINE-1	49.283
689340.706	5072557.328	712.844	6.0	49.075928	REZOVACCKE_KRCCEVINE-1	49.323
689340.706	5072557.328	713.844	6.0	49.075928	REZOVACCKE_KRCCEVINE-1	49.363
689340.706	5072557.328	714.844	6.0	49.075928	REZOVACCKE_KRCCEVINE-1	49.403
689340.706	5072557.328	715.844	6.0	49.075928	REZOVACCKE_KRCCEVINE-1	49.443
689340.706	5072557.328	716.844	6.0	49.075928	REZOVACCKE_KRCCEVINE-1	49.483
689340.706	5072557.328	717.844	6.0	49.075928	REZOVACCKE_KRCCEVINE-1	49.523
689340.706	5072557.328	718.844	6.0	49.075928	REZOVACCKE_KRCCEVINE-1	49.563
689340.706	5072557.328	719.844	6.0	49.822136	REZOVACCKE_KRCCEVINE-1	49.603
689340.706	5072557.328	720.844	6.0	49.822136	REZOVACCKE_KRCCEVINE-1	49.643
689340.706	5072557.328	721.844	6.0	49.822136	REZOVACCKE_KRCCEVINE-1	49.683
689340.706	5072557.328	722.844	6.0	49.822136	REZOVACCKE_KRCCEVINE-1	49.723
